subject,count,link
"de veimerange",1,"https://www.viomenil.mountvernon.org/browse.html#de%20veimerange"
"joseph françois louis charles de damas",1,"https://www.viomenil.mountvernon.org/browse.html#joseph%20fran%C3%A7ois%20louis%20charles%20de%20damas"
"president of congress",1,"https://www.viomenil.mountvernon.org/browse.html#president%20of%20congress"
"louis-rené-madeleine le vassor, comte de la touche-tréville",1,"https://www.viomenil.mountvernon.org/browse.html#louis-ren%C3%A9-madeleine%20le%20vassor,%20comte%20de%20la%20touche-tr%C3%A9ville"
"george keith elphinstone, 1st viscount keith",1,"https://www.viomenil.mountvernon.org/browse.html#george%20keith%20elphinstone,%201st%20viscount%20keith"
"vice-admiral louis-rené madelaine le vassor, comte de latouche-tréville",1,"https://www.viomenil.mountvernon.org/browse.html#vice-admiral%20louis-ren%C3%A9%20madelaine%20le%20vassor,%20comte%20de%20latouche-tr%C3%A9ville"
"van vleck & barton",1,"https://www.viomenil.mountvernon.org/browse.html#van%20vleck%20&%20barton"
"m. de bellecombe, gouverneur général de st domingue",1,"https://www.viomenil.mountvernon.org/browse.html#m.%20de%20bellecombe,%20gouverneur%20g%C3%A9n%C3%A9ral%20de%20st%20domingue"
"marquis de rostaing",1,"https://www.viomenil.mountvernon.org/browse.html#marquis%20de%20rostaing"
"la luzerne",1,"https://www.viomenil.mountvernon.org/browse.html#la%20luzerne"
"robert boyle-walsingham",1,"https://www.viomenil.mountvernon.org/browse.html#robert%20boyle-walsingham"
"marie-joseph paul yves roch gilbert du motier de la fayette, marquis de la fayette",1,"https://www.viomenil.mountvernon.org/browse.html#marie-joseph%20paul%20yves%20roch%20gilbert%20du%20motier%20de%20la%20fayette,%20marquis%20de%20la%20fayette"
"friedrich wilhelm ludolf gerhard augustin von steuben",1,"https://www.viomenil.mountvernon.org/browse.html#friedrich%20wilhelm%20ludolf%20gerhard%20augustin%20von%20steuben"
"jean-baptiste vaquette de gribeauval and françois-henri de franquetot de coigny, duc de coigny",1,"https://www.viomenil.mountvernon.org/browse.html#jean-baptiste%20vaquette%20de%20gribeauval%20and%20fran%C3%A7ois-henri%20de%20franquetot%20de%20coigny,%20duc%20de%20coigny"
"joseph hyacinthe françois de paule de rigaud, comte de vaudreuil",1,"https://www.viomenil.mountvernon.org/browse.html#joseph%20hyacinthe%20fran%C3%A7ois%20de%20paule%20de%20rigaud,%20comte%20de%20vaudreuil"
